OBJECTID,WARD_NAME,Shape__Area,Shape__Length
1,WEST,76051702.6705322,77158.568030935
2,NORTH,78151114.2098694,48294.8330235723
3,CENTRAL,96203390.6459656,62750.2069804056
4,SOUTH,150783623.81015,61861.6435054476
5,EAST,329653943.731201,83309.1809736496
